text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
kywN,"Masekhet: 0000000, Page: 00, Side: a, Line: 00, Word: 0",No data,,,,,,,,,כיון,None,No data,
wlyt,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 0",verb G,c,,,,,,,,ולית,w_,verb peal | conjunction,
lyh,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 1",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
lr',"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 2",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher
y$m()l,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 3",PN Personal name,,,,,,,,,ישמעאל,y$m()l,proper name Personal name,
kN,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 4",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so"
kwlh,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 5",noun sg. emphatic,,,,,"all, every",,,,כולה,kl,noun sg. emphatic,"all, every"
mN,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 6",p01,,,,,from,,,,מן,mn,preposition independent,from
tmN,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 7",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there
)yt,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 0",verb G,,,,,,,,,אית,)yt,verb peal,
lyh,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 1",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
"""mykN","Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 2",No data,,,,,,,,,מיכן,None,No data,
$kynwy,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 3",No data,,,,,,,,,שכינוי,None,No data,
ndryM,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 4",No data,,,,,,,,,נדרים,None,No data,
kndryM,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 5",No data,,,,,,,,,כנדרים,None,No data,
wkynwy,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 6",No data,,,,,,,,,וכינוי,None,No data,
$bw(wt,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 7",No data,,,,,,,,,שבועות,None,No data,
"k$bw(wt""","Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 8",No data,,,,,,,,,כשבועות,None,No data,
)yt,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 9",verb G,,,,,,,,,אית,)yt,verb peal,
lyh,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 10",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
"""mykN","Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 11",No data,,,,,,,,,מיכן,None,No data,
"lndr""","Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 12",No data,,,,,,,,,לנדר,None,No data,
"""$bTl","Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 0",No data,,,,,,,,,שבטל,None,No data,
mqctw,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 1",No data,,,,,,,,,מקצתו,None,No data,
