text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
r',"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
)my,"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 1",PN Personal name,,,,,,,,,אמי,)my,proper name Personal name,
b(y,"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 2",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעי,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
mtnyt',"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 3",noun sg. emphatic,,,,,tannaitic tradition,,,,מתנית',mtny,noun sg. emphatic,tannaitic tradition
dl),"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 4",c,a01,,,,"no, not",,,,דלא,l),conjunction | a01,"no, not"
k$my,"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 5",PN Personal name,p02,,,,like,,,,כשמי,k_,proper name Personal name | preposition with pronominal suffix,like
)m',"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 1",N,,,,,chief; teacher,,,,ר,rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 2",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
)yN,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 3",I01,,,,,yes,,,,אין,)yn,I01,yes
lyt,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 4",verb G,,,,,,,,,לית,lyt,verb peal,
hy),"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 5",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
k$my,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 6",PN Personal name,p02,,,,like,,,,כשמי,k_,proper name Personal name | preposition with pronominal suffix,like
)py',"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 7",c,,,,,"even if , even",,,,אפי',)pylw,conjunction,"even if , even"
khll,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 8",PN Personal name,p02,,,,like,,,,כהלל,k_,proper name Personal name | preposition with pronominal suffix,like
lyt,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 9",verb G,,,,,,,,,לית,lyt,verb peal,
hy),"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 10",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
xd,"Masekhet: 5330039, Page: 48, Side: d, Line: 51, Word: 0",n01 C,,,,,one,,,,חד,xd,numeral singular absolute or construct (h)aphel,one
r',"Masekhet: 5330039, Page: 48, Side: d, Line: 51, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
Twby...,"Masekhet: 5330039, Page: 48, Side: d, Line: 51, Word: 2",PN Personal name,,,,,,,,,טובי,Twby,proper name Personal name,
