text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
whyy d),"Masekhet: 5330010, Page: 60, Side: c, Line: 60, Word: 0",P01 C,c,,,,which one (f.),"and, also",,,והיי דא,w_,preposition independent (h)aphel | conjunction,"which one (f.) | and, also"
)m',"Masekhet: 5330010, Page: 60, Side: c, Line: 60, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
d),"Masekhet: 5330010, Page: 60, Side: c, Line: 60, Word: 2",R,,,,,this (f.),,,,דא,dh dh P01 C,R,this (f.)
mh,"Masekhet: 5330010, Page: 60, Side: c, Line: 63, Word: 0",P01,,,,,what?,,,,מה,mh,preposition independent,what?
cryk),"Masekhet: 5330010, Page: 60, Side: c, Line: 63, Word: 1",A01,,,,,poor; needy,,,,צריכא,cryk,adjective singular absolute or construct,poor; needy
lyh,"Masekhet: 5330010, Page: 60, Side: c, Line: 63, Word: 2",p01,,,,,,,,,ליה,l_,preposition independent,
kgwN,"Masekhet: 5330010, Page: 60, Side: c, Line: 63, Word: 3",p01 C,,,,,"like, as",,,,כגון,kgwn,preposition independent (h)aphel,"like, as"
)ylyN,"Masekhet: 5330010, Page: 60, Side: c, Line: 63, Word: 4",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.)
twtyy),"Masekhet: 5330010, Page: 60, Side: c, Line: 63, Word: 5",noun pl. emphatic,,,,,mulberry,,,,תותייא,twt,noun pl. emphatic,mulberry
\{^dl),"Masekhet: 5330010, Page: 60, Side: c, Line: 63, Word: 6",No data,,,,,,,,,{דלא,None,No data,
)yt^}/dlyt#01#/,"Masekhet: 5330010, Page: 60, Side: c, Line: 63, Word: 7",c,verb G,,,,,,,,דלית/,lyt,conjunction | verb peal,
bhwN,"Masekhet: 5330010, Page: 60, Side: c, Line: 64, Word: 0",p02 C,,,,,"in, with",,,,בהון,b_,preposition with pronominal suffix (h)aphel,"in, with"
mm$,"Masekhet: 5330010, Page: 60, Side: c, Line: 64, Word: 1",noun sg. abs. or construct,,,,,substance,,,,ממש,mm$,noun sg. abs. or construct,substance
)m',"Masekhet: 5330010, Page: 60, Side: d, Line: 05, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330010, Page: 60, Side: d, Line: 05, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
mtyh,"Masekhet: 5330010, Page: 60, Side: d, Line: 05, Word: 2",PN Personal name,,,,,,,,,מתיה,mtyh,proper name Personal name,
mN,"Masekhet: 5330010, Page: 60, Side: d, Line: 05, Word: 3",p01,,,,,from,,,,מן,mn,preposition independent,from
dbtr{t}h#01#,"Masekhet: 5330010, Page: 60, Side: d, Line: 05, Word: 4",noun sg. emphatic,,,,,the next one,,,,דבתרה,dbtr_,noun sg. emphatic,the next one
xzr,"Masekhet: 5330010, Page: 60, Side: d, Line: 10, Word: 0",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.)
rb,"Masekhet: 5330010, Page: 60, Side: d, Line: 10, Word: 1",noun sg. abs. or construct,,,,,chief; teacher,,,,רב,rb,noun sg. abs. or construct,chief; teacher
xwn),"Masekhet: 5330010, Page: 60, Side: d, Line: 10, Word: 2",PN Personal name,,,,,,,,,חונא,xwn),proper name Personal name,
w)m',"Masekhet: 5330010, Page: 60, Side: d, Line: 10, Word: 3",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,ואמ',w_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
mh,"Masekhet: 5330010, Page: 60, Side: d, Line: 16, Word: 0",P01,,,,,what?,,,,מה,mh,preposition independent,what?
dmy,"Masekhet: 5330010, Page: 60, Side: d, Line: 16, Word: 1",verb G,,,,,to be like,ptcp. :,,,דמי,dmy,verb peal,to be like | ptcp. :
lh,"Masekhet: 5330010, Page: 60, Side: d, Line: 16, Word: 2",p01,,,,,,,,,לה,l_,preposition independent,
w)t,"Masekhet: 5330010, Page: 60, Side: d, Line: 17, Word: 0",R,c,,,,you (m.),"and, also",,,ואת,w_,R | conjunction,"you (m.) | and, also"
)m',"Masekhet: 5330010, Page: 60, Side: d, Line: 17, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
hkyN,"Masekhet: 5330010, Page: 60, Side: d, Line: 17, Word: 2",a01 C,,,,,"so, thus",,,,הכין,hkyn,a01 (h)aphel,"so, thus"
mh,"Masekhet: 5330010, Page: 60, Side: d, Line: 17, Word: 3",P01,,,,,what?,,,,מה,mh,preposition independent,what?
dmy,"Masekhet: 5330010, Page: 60, Side: d, Line: 17, Word: 4",verb G,,,,,to be like,ptcp. :,,,דמי,dmy,verb peal,to be like | ptcp. :
lh,"Masekhet: 5330010, Page: 60, Side: d, Line: 17, Word: 5",p01,,,,,,,,,לה,l_,preposition independent,
)m',"Masekhet: 5330010, Page: 60, Side: d, Line: 20, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330010, Page: 60, Side: d, Line: 20, Word: 1",p01,,,,,,,,,ליה,l_,preposition independent,
hy),"Masekhet: 5330010, Page: 60, Side: d, Line: 20, Word: 2",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
hd),"Masekhet: 5330010, Page: 60, Side: d, Line: 20, Word: 3",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
hy),"Masekhet: 5330010, Page: 60, Side: d, Line: 20, Word: 4",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
hd),"Masekhet: 5330010, Page: 60, Side: d, Line: 20, Word: 5",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
hd),"Masekhet: 5330010, Page: 60, Side: d, Line: 33, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
dr',"Masekhet: 5330010, Page: 60, Side: d, Line: 33, Word: 1",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
yrmyh,"Masekhet: 5330010, Page: 60, Side: d, Line: 33, Word: 2",PN Personal name,,,,,,,,,ירמיה,yrmyh,proper name Personal name,
mtxmy),"Masekhet: 5330010, Page: 60, Side: d, Line: 33, Word: 3",verb Gt,,,,,"to be seen, to appear","to see each other, meet",,,מתחמיא,xmy,verb ethpeel,"to be seen, to appear | to see each other, meet"
q$y),"Masekhet: 5330010, Page: 60, Side: d, Line: 33, Word: 4",A01,,,,,hard,,,,קשיא,q$y,adjective singular absolute or construct,hard
wlyt,"Masekhet: 5330010, Page: 60, Side: d, Line: 33, Word: 5",verb G,c,,,,,,,,ולית,w_,verb peal | conjunction,
hy),"Masekhet: 5330010, Page: 60, Side: d, Line: 33, Word: 6",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
)l),"Masekhet: 5330010, Page: 60, Side: d, Line: 33, Word: 7",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
nyx),"Masekhet: 5330010, Page: 60, Side: d, Line: 34, Word: 0",A01,,,,,quiet,,,,ניחא,nyx,adjective singular absolute or construct,quiet
khd),"Masekhet: 5330010, Page: 60, Side: d, Line: 34, Word: 1",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like
dtny,"Masekhet: 5330010, Page: 60, Side: d, Line: 34, Word: 2",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""(yqr","Masekhet: 5330010, Page: 60, Side: d, Line: 37, Word: 0",No data,,,,,,,,,עיקר,None,No data,
"(rlh""","Masekhet: 5330010, Page: 60, Side: d, Line: 37, Word: 1",No data,,,,,,,,,ערלה,None,No data,
crykh,"Masekhet: 5330010, Page: 60, Side: d, Line: 37, Word: 2",A01,,,,,poor; needy,,,,צריכה,cryk,adjective singular absolute or construct,poor; needy
lyh,"Masekhet: 5330010, Page: 60, Side: d, Line: 37, Word: 3",p01,,,,,,,,,ליה,l_,preposition independent,
"""(yqr","Masekhet: 5330010, Page: 60, Side: d, Line: 38, Word: 0",No data,,,,,,,,,עיקר,None,No data,
"rb(y""","Masekhet: 5330010, Page: 60, Side: d, Line: 38, Word: 1",No data,,,,,,,,,רבעי,None,No data,
crykh,"Masekhet: 5330010, Page: 60, Side: d, Line: 38, Word: 2",A01,,,,,poor; needy,,,,צריכה,cryk,adjective singular absolute or construct,poor; needy
lyh,"Masekhet: 5330010, Page: 60, Side: d, Line: 38, Word: 3",p01,,,,,,,,,ליה,l_,preposition independent,
bpyrw$,"Masekhet: 5330010, Page: 60, Side: d, Line: 49, Word: 0",p02,noun sg. abs. or construct,,,,"in, with",detailed expression,,,בפירוש,pyrw$,preposition with pronominal suffix | noun sg. abs. or construct,"in, with | detailed expression"
$m(tnh,"Masekhet: 5330010, Page: 60, Side: d, Line: 49, Word: 1",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמעתנה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mN,"Masekhet: 5330010, Page: 60, Side: d, Line: 49, Word: 2",p01,,,,,from,,,,מן,mn,preposition independent,from
dr',"Masekhet: 5330010, Page: 60, Side: d, Line: 49, Word: 3",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
ywxnN,"Masekhet: 5330010, Page: 60, Side: d, Line: 49, Word: 4",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
)w,"Masekhet: 5330010, Page: 60, Side: d, Line: 49, Word: 5",c,,,,,or,,,,או,)w,conjunction,or
"""b(rlh""","Masekhet: 5330010, Page: 60, Side: d, Line: 49, Word: 6",No data,,,,,,,,,בערלה,None,No data,
hwytwN,"Masekhet: 5330010, Page: 60, Side: d, Line: 50, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הויתון,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
qyymyN,"Masekhet: 5330010, Page: 60, Side: d, Line: 50, Word: 1",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קיימין,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions"
