text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
r',"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ycxq,"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 1",PN Personal name,,,,,,,,,יצחק,ycxq,proper name Personal name,
wr',"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 2",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also"
)ymy,"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 3",PN Personal name,,,,,,,,,אימי,)ymy,proper name Personal name,
hwwN,"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 4",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוון,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
ytybyN,"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 5",verb G,,,,,to sit,to dwell,to settle down,to be inhabited,יתיבין,ytb,verb peal,to sit | to dwell | to settle down | to be inhabited
mq${w}<y>y#01#,"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 6",verb D,,,,,to harden,to treat hard,to do with great difficulty,to make heavy,מקשיי,q$y,verb pael,to harden | to treat hard | to do with great difficulty | to make heavy
)m',"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 7",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lmh,"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 8",c,,,,,why?,,,,למה,lmh lmh a01 C,conjunction,why?
l),"Masekhet: 5330002, Page: 15, Side: a, Line: 35, Word: 9",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
tnynN,"Masekhet: 5330002, Page: 15, Side: a, Line: 36, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""trwmh""","Masekhet: 5330002, Page: 15, Side: a, Line: 36, Word: 1",No data,,,,,,,,,תרומה,None,No data,
(mhwN,"Masekhet: 5330002, Page: 15, Side: a, Line: 36, Word: 2",p02 C,,,,,with,,,,עמהון,(m,preposition with pronominal suffix (h)aphel,with
wtnyth,"Masekhet: 5330002, Page: 15, Side: a, Line: 38, Word: 0",verb G,c,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ותניתה,w_,verb peal | conjunction,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
mh,"Masekhet: 5330002, Page: 15, Side: a, Line: 54, Word: 0",P01,,,,,what?,,,,מה,mh,preposition independent,what?
npyq,"Masekhet: 5330002, Page: 15, Side: a, Line: 54, Word: 1",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפיק,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for"
mN bynyhwN,"Masekhet: 5330002, Page: 15, Side: a, Line: 54, Word: 2",p02 C,,,,,from between,,,,מן ביניהון,mn@byny,preposition with pronominal suffix (h)aphel,from between
l),"Masekhet: 5330002, Page: 15, Side: a, Line: 59, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
)tynN,"Masekhet: 5330002, Page: 15, Side: a, Line: 59, Word: 1",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתינן,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
mtny{t'},"Masekhet: 5330002, Page: 15, Side: a, Line: 59, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,מתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")l)","Masekhet: 5330002, Page: 15, Side: a, Line: 59, Word: 3",No data,,,,,,,,,אלא,None,No data,
dbryM,"Masekhet: 5330002, Page: 15, Side: a, Line: 59, Word: 4",No data,,,,,,,,,דברים,None,No data,
$hw),"Masekhet: 5330002, Page: 15, Side: a, Line: 59, Word: 5",No data,,,,,,,,,שהוא,None,No data,
"mwsyP""..","Masekhet: 5330002, Page: 15, Side: a, Line: 59, Word: 6",No data,,,,,,,,,מוסיף,None,No data,
l),"Masekhet: 5330002, Page: 15, Side: b, Line: 01, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
)t{yy})#14#,"Masekhet: 5330002, Page: 15, Side: b, Line: 01, Word: 1",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
my$)wl,"Masekhet: 5330002, Page: 15, Side: b, Line: 01, Word: 2",verb G,,,,,to ask,to ask for something,,,מישאול,$)l,verb peal,to ask | to ask for something
)l),"Masekhet: 5330002, Page: 15, Side: b, Line: 01, Word: 3",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
khd),"Masekhet: 5330002, Page: 15, Side: b, Line: 01, Word: 4",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like
dtny,"Masekhet: 5330002, Page: 15, Side: b, Line: 01, Word: 5",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
r',"Masekhet: 5330002, Page: 15, Side: b, Line: 02, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
hw$(y),"Masekhet: 5330002, Page: 15, Side: b, Line: 02, Word: 1",PN Personal name,,,,,,,,,הושעיא,hw$(y),proper name Personal name,
wq$y),"Masekhet: 5330002, Page: 15, Side: b, Line: 03, Word: 0",A01,c,,,,hard,"and, also",,,וקשיא,w_,adjective singular absolute or construct | conjunction,"hard | and, also"
mN,"Masekhet: 5330002, Page: 15, Side: b, Line: 03, Word: 1",c,,,,,"since, after; while",,,,מן,mn,conjunction,"since, after; while"
dw,"Masekhet: 5330002, Page: 15, Side: b, Line: 03, Word: 2",c,P01 C,,,,he,,,,דו,hw),conjunction | preposition independent (h)aphel,he
smK,"Masekhet: 5330002, Page: 15, Side: b, Line: 03, Word: 3",verb G,,,,,"to prop up, to support","to lean on, recline on (often in the context of eating)","to rely on, to be sure","to touch, be adjacent to",סמך,smk,verb peal,"to prop up, to support | to lean on, recline on (often in the context of eating) | to rely on, to be sure | to touch, be adjacent to"
"<lyh>#03,14#","Masekhet: 5330002, Page: 15, Side: b, Line: 03, Word: 4",p02,,,,,,,,,ליה,l_,preposition with pronominal suffix,
"""ldbr","Masekhet: 5330002, Page: 15, Side: b, Line: 03, Word: 5",No data,,,,,,,,,לדבר,None,No data,
"twrh""","Masekhet: 5330002, Page: 15, Side: b, Line: 03, Word: 6",No data,,,,,,,,,תורה,None,No data,
xzr,"Masekhet: 5330002, Page: 15, Side: b, Line: 08, Word: 0",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.)
byh,"Masekhet: 5330002, Page: 15, Side: b, Line: 08, Word: 1",p02 C,,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix (h)aphel,"in, with"
r',"Masekhet: 5330002, Page: 15, Side: b, Line: 08, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywxnN,"Masekhet: 5330002, Page: 15, Side: b, Line: 08, Word: 3",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
mN,"Masekhet: 5330002, Page: 15, Side: b, Line: 08, Word: 4",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330002, Page: 15, Side: b, Line: 08, Word: 5",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
r',"Masekhet: 5330002, Page: 15, Side: b, Line: 08, Word: 6",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywnh,"Masekhet: 5330002, Page: 15, Side: b, Line: 08, Word: 7",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
wr',"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 0",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also"
ywsy,"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 1",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
trwyhwN,"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 2",b,,,,,two,,,,תרויהון,tryyn tryyn n02 C,b,two
)mryN,"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
l),"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 4",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
xzr,"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 5",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.)
byh,"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 6",p02 C,,,,,"in, with",,,,ביה,b_,preposition with pronominal suffix (h)aphel,"in, with"
w(wd,"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 7",a01 C,c,,,,still; again,"and, also",,,ועוד,w_,a01 (h)aphel | conjunction,"still; again | and, also"
mN,"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 8",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 5330002, Page: 15, Side: b, Line: 09, Word: 9",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
)ytplgwN,"Masekhet: 5330002, Page: 15, Side: b, Line: 10, Word: 0",verb Gt,,,,,to be divided,to be allotted,to be in doubt,,איתפלגון,plg,verb ethpeel,to be divided | to be allotted | to be in doubt
xzqyh,"Masekhet: 5330002, Page: 15, Side: b, Line: 10, Word: 1",PN Personal name,,,,,,,,,חזקיה,xzqyh,proper name Personal name,
wr',"Masekhet: 5330002, Page: 15, Side: b, Line: 10, Word: 2",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also"
ywxnN,"Masekhet: 5330002, Page: 15, Side: b, Line: 10, Word: 3",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
hyK,"Masekhet: 5330002, Page: 15, Side: b, Line: 13, Word: 0",a01 C,,,,,how,,,,היך,hyk,a01 (h)aphel,how
(byd),"Masekhet: 5330002, Page: 15, Side: b, Line: 13, Word: 1",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עבידא,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
)ytplgwN,"Masekhet: 5330002, Page: 15, Side: b, Line: 15, Word: 0",verb Gt,,,,,to be divided,to be allotted,to be in doubt,,איתפלגון,plg,verb ethpeel,to be divided | to be allotted | to be in doubt
r',"Masekhet: 5330002, Page: 15, Side: b, Line: 15, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
