text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)P,"Masekhet: 5330014, Page: 27, Side: a, Line: 49, Word: 0",c,,,,,"also, even",,,,אף,)wp )wp c,conjunction,"also, even"
)yt,"Masekhet: 5330014, Page: 27, Side: a, Line: 49, Word: 1",verb G,,,,,,,,,אית,)yt,verb peal,
lyh,"Masekhet: 5330014, Page: 27, Side: a, Line: 49, Word: 2",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
kyy,"Masekhet: 5330014, Page: 27, Side: a, Line: 49, Word: 3",P01 C,p02,,,,that one (f.),like,,,כיי,k_,preposition independent (h)aphel | preposition with pronominal suffix,that one (f.) | like
dmr,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 0",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דמר,d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 2",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
"""wytxyl","Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 3",No data,,,,,,,,,ויתחיל,None,No data,
)wr,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 4",No data,,,,,,,,,אור,None,No data,
l$l$h,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 5",No data,,,,,,,,,לשלשה,None,No data,
"($r""","Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 6",No data,,,,,,,,,עשר,None,No data,
)yN,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 7",c,,,,,if,,,,אין,)yn )yn c,conjunction,if
kyny,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 8",a01 C,,,,,"thus, so",,,,כיני,kn,a01 (h)aphel,"thus, so"
"""ybdwq","Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 9",No data,,,,,,,,,יבדוק,None,No data,
)pylw,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 10",No data,,,,,,,,,אפילו,None,No data,
mr)$,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 11",No data,,,,,,,,,מראש,None,No data,
"xd$""","Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 12",No data,,,,,,,,,חדש,None,No data,
mylyhwN,"Masekhet: 5330014, Page: 27, Side: a, Line: 64, Word: 0",N,,,,,"word, speech; thing",,,,מיליהון,mylh mylh noun pl. emphatic,noun,"word, speech; thing"
drbnyN,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 0",p,noun pl. emphatic,,,,chief; teacher,,,,דרבנין,rb,preposition | noun pl. emphatic,chief; teacher
)mryN,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
l),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 2",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
kmh,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 3",c,,,,,just as,,,,כמה,kmh,conjunction,just as
dhw),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 4",c,P01 C,,,,he,,,,דהוא,hw),conjunction | preposition independent (h)aphel,he
mnhr,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 5",verb C,,,,,to illuminate,"to kindle, make to give light",to enable to see (eyes),,מנהר,nhr,verb (h)aphel,"to illuminate | to kindle, make to give light | to enable to see (eyes)"
blyly),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 6",p02,noun sg. emphatic,,,,"in, with",night,,,בליליא,lyly,preposition with pronominal suffix | noun sg. emphatic,"in, with | night"
hw),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 7",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
mnhr,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 8",verb C,,,,,to illuminate,"to kindle, make to give light",to enable to see (eyes),,מנהר,nhr,verb (h)aphel,"to illuminate | to kindle, make to give light | to enable to see (eyes)"
b)ymm),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 9",noun sg. emphatic,p02,,,,daytime,"in, with",,,באיממא,b_,noun sg. emphatic | preposition with pronominal suffix,"daytime | in, with"
kd,"Masekhet: 5330014, Page: 27, Side: b, Line: 02, Word: 0",c,,,,,when,,,,כד,kd,conjunction,when
hwynN,"Masekhet: 5330014, Page: 27, Side: b, Line: 02, Word: 1",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוינן,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
(rqyN,"Masekhet: 5330014, Page: 27, Side: b, Line: 02, Word: 2",verb G,,,,,to flee,"to avoid, stay away",,,ערקין,(rq,verb peal,"to flee | to avoid, stay away"
b)ylyN,"Masekhet: 5330014, Page: 27, Side: b, Line: 02, Word: 3",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with"
