text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
hwyyN,"Masekhet: 5330030, Page: 58, Side: c, Line: 30, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הויין,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
rbnyN,"Masekhet: 5330030, Page: 58, Side: c, Line: 30, Word: 1",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher
plygyN,"Masekhet: 5330030, Page: 58, Side: c, Line: 30, Word: 2",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגין,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
)yN,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 0",c,,,,,if,,,,אין,)yn )yn c,conjunction,if
tymr,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,תימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
kN,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 2",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so"
lyt,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 3",verb G,,,,,,,,,לית,lyt,verb peal,
hd),"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 4",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.)
plyg),"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 5",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגא,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
(l,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 6",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to
rb,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 7",PN Personal name,,,,,,,,,רב,rb,proper name Personal name,
"""wxmC","Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 0",No data,,,,,,,,,וחמץ,None,No data,
m$$,"Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 1",No data,,,,,,,,,משש,None,No data,
$(wt,"Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 2",No data,,,,,,,,,שעות,None,No data,
"wlm(lN""","Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 3",No data,,,,,,,,,ולמעלן,None,No data,
Tb,"Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 4",A01 C,,,,,good,,,,טב,Tb,adjective singular absolute or construct (h)aphel,good
hw),"Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 5",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
