text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
whyy dyN,"Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 0",P01 C,c,,,,which one (masc.),"and, also",,,והיי דין,w_,preposition independent (h)aphel | conjunction,"which one (masc.) | and, also"
hw),"Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 1",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
"""$ny","Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 2",No data,,,,,,,,,שני,None,No data,
"$bxd$yM""","Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 3",No data,,,,,,,,,שבחדשים,None,No data,
whyy dyN,"Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 4",P01 C,c,,,,which one (masc.),"and, also",,,והיי דין,w_,preposition independent (h)aphel | conjunction,"which one (masc.) | and, also"
hw),"Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 5",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he
"""$ny","Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 6",No data,,,,,,,,,שני,None,No data,
"$b$nyM""","Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 7",No data,,,,,,,,,שבשנים,None,No data,
wxwrnh,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 0",P01 C,c,,,,other,"and, also",,,וחורנה,w_,preposition independent (h)aphel | conjunction,"other | and, also"
)pylw,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 1",c,,,,,"even if , even",,,,אפילו,)pylw,conjunction,"even if , even"
m{y}xlP,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 2",verb D,,,,,to exchange,to alternate something :,,,מחלף,xlp,verb pael,to exchange | to alternate something :
lyt,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 3",verb G,,,,,,,,,לית,lyt,verb peal,
bh,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 4",p02 C,,,,,"in, with",,,,בה,b_,preposition with pronominal suffix (h)aphel,"in, with"
klwM,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 5",P01,,,,,something,,,,כלום,klwm,preposition independent,something
r',"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 6",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
$m(wN,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 7",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
