text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
l),"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
)tynN,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 1",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתינן,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
mytny,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,מיתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")l)","Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 3",No data,,,,,,,,,אלא,None,No data,
pTwr,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 4",No data,,,,,,,,,פטור,None,No data,
$hw),"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 5",No data,,,,,,,,,שהוא,None,No data,
kngd,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 6",No data,,,,,,,,,כנגד,None,No data,
"xyywb""","Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 7",No data,,,,,,,,,חייוב,None,No data,
mhw,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 8",P01 C,,,,,what is it ?,,,,מהו,mhw),preposition independent (h)aphel,what is it ?
hhN,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 9",P01 C,,,,,this,,,,ההן,)hn,preposition independent (h)aphel,this
"""pTwr","Masekhet: 5330012, Page: 02, Side: b, Line: 09, Word: 0",No data,,,,,,,,,פטור,None,No data,
dtnynN,"Masekhet: 5330012, Page: 02, Side: b, Line: 09, Word: 1",No data,,,,,,,,,דתנינן,None,No data,
hk),"Masekhet: 5330012, Page: 02, Side: b, Line: 09, Word: 2",No data,,,,,,,,,הכא,None,No data,
"mwtr""","Masekhet: 5330012, Page: 02, Side: b, Line: 09, Word: 3",No data,,,,,,,,,מותר,None,No data,
r',"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
xzqyh,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 1",PN Personal name,,,,,,,,,חזקיה,xzqyh,proper name Personal name,
b$M,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 2",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with"
r',"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
)x),"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 4",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,
$m(,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 5",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
kwlhN,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 6",noun sg. emphatic,,,,,"all, every",,,,כולהן,kl,noun sg. emphatic,"all, every"
mN,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 7",p01,,,,,from,,,,מן,mn,preposition independent,from
hdyN,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 8",R,,,,,this (m.),,,,הדין,hdyn hdyn P01 C,R,this (m.)
qryy),"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 9",noun sg. emphatic,,,,,biblical verse,,,,קרייא,qrh,noun sg. emphatic,biblical verse
wq$yyN,"Masekhet: 5330012, Page: 02, Side: b, Line: 23, Word: 0",A03 C,c,,,,hard,"and, also",,,וקשיין,w_,adjective plural absolute (h)aphel | conjunction,"hard | and, also"
rbnyN,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 0",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher
dqysryN,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 1",p,GN Geographic name,,,,,,,,דקיסרין,qysryN,preposition | geographical name Geographic name,
)mryN,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
(d,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 3",c,,,,,until,,,,עד,(d,conjunction,until
d)t,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 4",R,c,,,,you (m.),,,,דאת,d_ d_ c,R | conjunction,you (m.)
