text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
mnN,"Masekhet: 5330034, Page: 18, Side: a, Line: 20, Word: 0",p02 C,,,,,from,,,,מנן,mn,preposition with pronominal suffix (h)aphel,from
tyty,"Masekhet: 5330034, Page: 18, Side: a, Line: 20, Word: 1",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,תיתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
lyh,"Masekhet: 5330034, Page: 18, Side: a, Line: 20, Word: 2",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
)$kx,"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 0",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",אשכח,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible"
tny,"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
$m(wN,"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 3",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
"""bN""","Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 4",No data,,,,,,,,,בן,None,No data,
ywxy,"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 5",PN Personal name,,,,,,,,,יוחי,ywxy,proper name Personal name,
"""w)lh","Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 6",No data,,,,,,,,,ואלה,None,No data,
"hm$pTyM""","Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 7",No data,,,,,,,,,המשפטים,None,No data,
""")$r","Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 0",No data,,,,,,,,,אשר,None,No data,
t$yM,"Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 1",No data,,,,,,,,,תשים,None,No data,
"lpnyhM""","Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 2",No data,,,,,,,,,לפניהם,None,No data,
)t),"Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 3",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
mymr,"Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lK,"Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 5",p02 C,,,,,,,,,לך,l_,preposition with pronominal suffix (h)aphel,
