text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
$bq,"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 0",verb G,,,,,"to leave, depart from",to leave something left over,"to abandon, leave alone","to permit, allow",שבק,$bq,verb peal,"to leave, depart from | to leave something left over | to abandon, leave alone | to permit, allow"
r',"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
Tby,"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 2",PN Personal name,,,,,,,,,טבי,Tby,proper name Personal name,
r)$h,"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 3",N,,,,,head; top; chief,,,,ראשה,r)$ r)$ noun sg. emphatic,noun,head; top; chief
w)m',"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 4",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,ואמ',w_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
swp),"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 5",noun sg. emphatic,,,,,end,,,,סופא,swp,noun sg. emphatic,end
dl kN,"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 6",c,a01 C,p03,,,"thus, so",,,,דל כן,kn,conjunction | a01 (h)aphel | preposition proclitic,"thus, so"
khd),"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 7",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like
dtny,"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 8",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""z)t","Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 9",No data,,,,,,,,,זאת,None,No data,
(wlt,"Masekhet: 5330016, Page: 45, Side: d, Line: 33, Word: 10",No data,,,,,,,,,עולת,None,No data,
