text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)l),"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 0",c,,,,,but rather,,,,אלא,)l),conjunction,but rather
)ty),"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 1",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתיא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
dy l),"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 2",p01,,,,,without,,,,די לא,dl),preposition independent,without
(l,"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 3",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to
dmtnytyN,"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 4",p,noun sg. emphatic,,,,tannaitic tradition,,,,דמתניתין,mtny,preposition | noun sg. emphatic,tannaitic tradition
)pylw,"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 0",c,,,,,"even if , even",,,,אפילו,)pylw,conjunction,"even if , even"
khdyN,"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 1",R,p02,,,,this (m.),like,,,כהדין,k_,R | preposition with pronominal suffix,this (m.) | like
tnyy),"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 2",N,,,,,tanna,,,,תנייא,tnyy#2 tnyy#2 noun sg. emphatic,noun,tanna
)tyy),"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 3",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתייא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
hy),"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 4",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
)w,"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 0",c,,,,,or,,,,או,)w,conjunction,or
yyb),"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 1",V,,,,,it (f.) is,,,,ייבא,yybh yybh I01 C,V,it (f.) is
kyy,"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 2",P01 C,p02,,,,that one (f.),like,,,כיי,k_,preposition independent (h)aphel | preposition with pronominal suffix,that one (f.) | like
dmr,"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 3",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דמר,d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 4",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
b),"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 5",PN Personal name,,,,,,,,,בא,b),proper name Personal name,
yyb),"Masekhet: 5330025, Page: 16, Side: c, Line: 02, Word: 0",V,,,,,it (f.) is,,,,ייבא,yybh yybh I01 C,V,it (f.) is
khd),"Masekhet: 5330025, Page: 16, Side: c, Line: 02, Word: 1",P01 C,p02,,,,this (f.),like,,,כהדא,k_,preposition independent (h)aphel | preposition with pronominal suffix,this (f.) | like
yyb),"Masekhet: 5330025, Page: 16, Side: c, Line: 05, Word: 0",V,,,,,it (f.) is,,,,ייבא,yybh yybh I01 C,V,it (f.) is
khd),"Masekhet: 5330025, Page: 16, Side: c, Line: 05, Word: 1",P01 C,p02,,,,this (f.),like,,,כהדא,k_,preposition independent (h)aphel | preposition with pronominal suffix,this (f.) | like
mh,"Masekhet: 5330025, Page: 16, Side: c, Line: 09, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?
d),"Masekhet: 5330025, Page: 16, Side: c, Line: 09, Word: 1",R,,,,,this (f.),,,,דא,dh dh P01 C,R,this (f.)
p$yTh,"Masekhet: 5330025, Page: 16, Side: c, Line: 09, Word: 2",verb G,,,,,"to extend, straighten",to stretch out (a body part),"to explain clearly, solve",(intrans.) to expand in extent,פשיטה,p$T,verb peal,"to extend, straighten | to stretch out (a body part) | to explain clearly, solve | (intrans.) to expand in extent"
""")m'","Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 0",No data,,,,,,,,,אמ',None,No data,
r',"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 1",No data,,,,,,,,,ר',None,No data,
ywsy,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 2",No data,,,,,,,,,יוסי,None,No data,
lr',"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 3",No data,,,,,,,,,לר',None,No data,
"xgyy""","Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 4",No data,,,,,,,,,חגיי,None,No data,
wh),"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 5",I01 C,c,,,,here! look!,"and, also",,,והא,w_,I01 (h)aphel | conjunction,"here! look! | and, also"
r',"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 6",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywdN,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 7",PN Personal name,,,,,,,,,יודן,ywdN,proper name Personal name,
sbr,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 8",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:
kwwty,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 9",p,,,,,like,,,,כוותי,kwwt kwwt p02 C,preposition,like
)m',"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 10",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 11",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
(l,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 12",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to
rbyh,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 13",noun sg. emphatic,,,,,chief; teacher,,,,רביה,rb,noun sg. emphatic,chief; teacher
)n),"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 14",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I
plyg,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 15",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליג,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
"""l)","Masekhet: 5330025, Page: 16, Side: c, Line: 18, Word: 0",No data,,,,,,,,,לא,None,No data,
kl,"Masekhet: 5330025, Page: 16, Side: c, Line: 18, Word: 1",No data,,,,,,,,,כל,None,No data,
"$kN""","Masekhet: 5330025, Page: 16, Side: c, Line: 18, Word: 2",No data,,,,,,,,,שכן,None,No data,
(ylwyh,"Masekhet: 5330025, Page: 16, Side: c, Line: 18, Word: 3",p,,,,,"above, on top of",,,,עילויה,(ylwwy (ylwwy p02 C,preposition,"above, on top of"
