text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
r',"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 1",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
)m',"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lh,"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 3",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,
stM,"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 4",noun sg. abs. or construct,,,,,unspecified,,,,סתם,stm,noun sg. abs. or construct,unspecified
r',"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
)x),"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 1",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,
b$M,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 2",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with"
rb,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 3",PN Personal name,,,,,,,,,רב,rb,proper name Personal name,
{w}rbnyN#14#,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 4",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher
ylpyN,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 5",V,,,,,,,,,ילפין,ylp ylp verb G,V,
lh,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 6",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,
"""mptxw","Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 7",No data,,,,,,,,,מפתחו,None,No data,
$l,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 0",No data,,,,,,,,,של,None,No data,
"hykl""","Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 1",No data,,,,,,,,,היכל,None,No data,
wr',"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 2",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also"
ywdh,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 3",PN Personal name,,,,,,,,,יודה,ywdh,proper name Personal name,
ylyP,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 4",V,,,,,,,,,יליף,ylp ylp verb G,V,
lh,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 5",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,
"""mptxw","Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 6",No data,,,,,,,,,מפתחו,None,No data,
$l,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 7",No data,,,,,,,,,של,None,No data,
")wlM""","Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 8",No data,,,,,,,,,אולם,None,No data,
r',"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywdh,"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 1",PN Personal name,,,,,,,,,יודה,ywdh,proper name Personal name,
kd(tyh,"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 2",noun sg. emphatic,p02,,,,knowledge,like,,,כדעתיה,k_,noun sg. emphatic | preposition with pronominal suffix,knowledge | like
wrbnN,"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 3",noun pl. emphatic,c,,,,chief; teacher,"and, also",,,ורבנן,w_,noun pl. emphatic | conjunction,"chief; teacher | and, also"
kd(thwN,"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 4",noun sg. emphatic,p02,,,,knowledge,like,,,כדעתהון,k_,noun sg. emphatic | preposition with pronominal suffix,knowledge | like
hyK mh,"Masekhet: 5330017, Page: 51, Side: c, Line: 55, Word: 0",c,,,,,"as, just as",,,,היך מה,hykmh,conjunction,"as, just as"
d)t,"Masekhet: 5330017, Page: 51, Side: c, Line: 55, Word: 1",R,c,,,,you (m.),,,,דאת,d_ d_ c,R | conjunction,you (m.)
)mr,"Masekhet: 5330017, Page: 51, Side: c, Line: 55, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
tmN,"Masekhet: 5330017, Page: 51, Side: c, Line: 55, Word: 3",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there
""")t","Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 0",No data,,,,,,,,,את,None,No data,
rw)h,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 1",No data,,,,,,,,,רואה,None,No data,
)t,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 2",No data,,,,,,,,,את,None,No data,
htqrh,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 3",No data,,,,,,,,,התקרה,None,No data,
k)ylw,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 4",No data,,,,,,,,,כאילו,None,No data,
hy),"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 5",No data,,,,,,,,,היא,None,No data,
ywrdt,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 6",No data,,,,,,,,,יורדת,None,No data,
"wswtmt""","Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 7",No data,,,,,,,,,וסותמת,None,No data,
kK,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 8",a01 C,,,,,so,,,,כך,kk,a01 (h)aphel,so
)t,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 9",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.)
)mr,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 10",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
hk),"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 11",a01 C,,,,,here,,,,הכא,hkh,a01 (h)aphel,here
""")t""","Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 12",No data,,,,,,,,,את,None,No data,
"""rw)h","Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 0",No data,,,,,,,,,רואה,None,No data,
)t,"Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 1",No data,,,,,,,,,את,None,No data,
hmltyrh,"Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 2",No data,,,,,,,,,המלתירה,None,No data,
k)ylw,"Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 3",No data,,,,,,,,,כאילו,None,No data,
hy),"Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 4",No data,,,,,,,,,היא,None,No data,
ywrdt,"Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 5",No data,,,,,,,,,יורדת,None,No data,
"wswtmt""","Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 6",No data,,,,,,,,,וסותמת,None,No data,
hy),"Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 7",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
d(tyh,"Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 8",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge
dr',"Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 9",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
yhwdh,"Masekhet: 5330017, Page: 51, Side: c, Line: 57, Word: 10",PN Personal name,,,,,,,,,יהודה,yhwdh,proper name Personal name,
"""bswkh""","Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 0",No data,,,,,,,,,בסוכה,None,No data,
hy),"Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 1",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
d(tyh,"Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 2",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge
"""kmbwy""","Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 3",No data,,,,,,,,,כמבוי,None,No data,
hy),"Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 4",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
d(thwN,"Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 5",noun sg. emphatic,,,,,knowledge,,,,דעתהון,dy(h,noun sg. emphatic,knowledge
drbnN,"Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 6",p,noun pl. emphatic,,,,chief; teacher,,,,דרבנן,rb,preposition | noun pl. emphatic,chief; teacher
"""bswkh""","Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 7",No data,,,,,,,,,בסוכה,None,No data,
hy),"Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 8",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
d(thwN,"Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 9",noun sg. emphatic,,,,,knowledge,,,,דעתהון,dy(h,noun sg. emphatic,knowledge
"""bmbwy""","Masekhet: 5330017, Page: 51, Side: c, Line: 58, Word: 10",No data,,,,,,,,,במבוי,None,No data,
wl),"Masekhet: 5330017, Page: 51, Side: c, Line: 59, Word: 0",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also"
