text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
wlmh,"Masekhet: 5330005, Page: 33, Side: b, Line: 02, Word: 0",c,c,,,,why?,"and, also",,,ולמה,w_,conjunction | conjunction,"why? | and, also"
l),"Masekhet: 5330005, Page: 33, Side: b, Line: 02, Word: 1",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
tnyth,"Masekhet: 5330005, Page: 33, Side: b, Line: 02, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תניתה,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
"""mqwly","Masekhet: 5330005, Page: 33, Side: b, Line: 02, Word: 3",No data,,,,,,,,,מקולי,None,No data,
byt,"Masekhet: 5330005, Page: 33, Side: b, Line: 02, Word: 4",No data,,,,,,,,,בית,None,No data,
$my,"Masekhet: 5330005, Page: 33, Side: b, Line: 02, Word: 5",PN Personal name,,,,,,,,,שמי,!,proper name Personal name,
wmxwmry,"Masekhet: 5330005, Page: 33, Side: b, Line: 02, Word: 6",No data,,,,,,,,,ומחומרי,None,No data,
byt,"Masekhet: 5330005, Page: 33, Side: b, Line: 02, Word: 7",No data,,,,,,,,,בית,None,No data,
"hll""","Masekhet: 5330005, Page: 33, Side: b, Line: 02, Word: 8",PN Personal name,,,,,,,,,הלל,!,proper name Personal name,
tmN,"Masekhet: 5330005, Page: 33, Side: b, Line: 08, Word: 0",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there
)yt)mrt,"Masekhet: 5330005, Page: 33, Side: b, Line: 08, Word: 1",verb Gt,,,,,to be said,"to be ordered, commanded",,,איתאמרת,)mr,verb ethpeel,"to be said | to be ordered, commanded"
wk),"Masekhet: 5330005, Page: 33, Side: b, Line: 08, Word: 2",a01 C,c,,,,thus;  here,"and, also",,,וכא,w_,a01 (h)aphel | conjunction,"thus;  here | and, also"
l),"Masekhet: 5330005, Page: 33, Side: b, Line: 08, Word: 3",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not"
)yt)mrt,"Masekhet: 5330005, Page: 33, Side: b, Line: 08, Word: 4",verb Gt,,,,,to be said,"to be ordered, commanded",,,איתאמרת,)mr,verb ethpeel,"to be said | to be ordered, commanded"
)m',"Masekhet: 5330005, Page: 33, Side: b, Line: 09, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330005, Page: 33, Side: b, Line: 09, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywnh,"Masekhet: 5330005, Page: 33, Side: b, Line: 09, Word: 2",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
