text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
tnynN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
tr{t}yN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 1",b,,,,,two,,,,תרין,tryyn tryyn n01 C,b,two
kllyN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 2",noun pl. absolute,,,,,general rule,,,,כללין,kll,noun pl. absolute,general rule
wl),"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 3",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also"
dmyyN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 4",verb G,,,,,to be like,ptcp. :,,,דמיין,dmy,verb peal,to be like | ptcp. :
dyN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 5",R,,,,,this one,,,,דין,dn dn P01,R,this one
ldyN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 6",R,p03,,,,this one,,,,לדין,l_,R | preposition proclitic,this one
r',"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
l(zr,"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 1",PN Personal name,,,,,,,,,לעזר,l(zr,proper name Personal name,
b$M,"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 2",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with"
r',"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
)byN,"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 4",PN Personal name,,,,,,,,,אבין,)byN,proper name Personal name,
ptr,"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 5",verb G,,,,,"to interpret,explain",,,,פתר,ptr,verb peal,"to interpret,explain"
lh,"Masekhet: 5330036, Page: 32, Side: d, Line: 02, Word: 0",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,
ptr,"Masekhet: 5330036, Page: 32, Side: d, Line: 02, Word: 1",verb G,,,,,"to interpret,explain",,,,פתר,ptr,verb peal,"to interpret,explain"
xwrN,"Masekhet: 5330036, Page: 32, Side: d, Line: 02, Word: 2",P01 C,,,,,other,,,,חורן,)wxrn,preposition independent (h)aphel,other
wnN,"Masekhet: 5330036, Page: 32, Side: d, Line: 06, Word: 0",P01 C,c,,,,we,"and, also",,,ונן,w_,preposition independent (h)aphel | conjunction,"we | and, also"
b(yy,"Masekhet: 5330036, Page: 32, Side: d, Line: 06, Word: 1",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעיי,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require"
kr',"Masekhet: 5330036, Page: 32, Side: d, Line: 06, Word: 2",p02,N,,,,like,chief; teacher,,,כר',rby#2 rby#2 noun sg. abs. or construct,preposition with pronominal suffix | noun,like | chief; teacher
(qybh,"Masekhet: 5330036, Page: 32, Side: d, Line: 06, Word: 3",PN Personal name,,,,,,,,,עקיבה,(qybh,proper name Personal name,
mlK/mlk)#04#/,"Masekhet: 5330036, Page: 32, Side: d, Line: 31, Word: 0",noun sg. abs. or construct,noun sg. emphatic,,,,king,king,,,מלכא/,mlk,noun sg. abs. or construct | noun sg. emphatic,king | king
wrb,"Masekhet: 5330036, Page: 32, Side: d, Line: 31, Word: 1",noun sg. abs. or construct,c,,,,chief; teacher,"and, also",,,ורב,w_,noun sg. abs. or construct | conjunction,"chief; teacher | and, also"
{xylyh}<xyylh#04#>,"Masekhet: 5330036, Page: 32, Side: d, Line: 31, Word: 2",noun sg. emphatic,,,,,army; force,,,,חיילה,xyl,noun sg. emphatic,army; force
w)rqbT)/)rqwwT)#04#,"Masekhet: 5330036, Page: 32, Side: d, Line: 31, Word: 3",noun sg. emphatic,noun sg. emphatic,c,,,Persian revenue inspector,Persian revenue inspector,"and, also",,וארקבטא/ארקווטא,)rqwbT,noun sg. emphatic | noun sg. emphatic | conjunction,"Persian revenue inspector | Persian revenue inspector | and, also"
wry$ glwt),"Masekhet: 5330036, Page: 32, Side: d, Line: 31, Word: 4",noun sg. emphatic,c,,,,exilarch,"and, also",,,וריש גלותא,w_,noun sg. emphatic | conjunction,"exilarch | and, also"
)m',"Masekhet: 5330036, Page: 32, Side: d, Line: 34, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 5330036, Page: 32, Side: d, Line: 34, Word: 1",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,
xmy,"Masekhet: 5330036, Page: 32, Side: d, Line: 34, Word: 2",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמי,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
m{h}<t> mr,"Masekhet: 5330036, Page: 32, Side: d, Line: 34, Word: 3",verb Gt,,,,,to be said,"to be ordered, commanded",,,מת מר,)mr,verb ethpeel,"to be said | to be ordered, commanded"
wmh,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 0",P01 C,c,,,,what?,"and, also",,,ומה,w_,preposition independent (h)aphel | conjunction,"what? | and, also"
xmyt,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 1",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמית,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
mymr,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""bhrt","Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 3",No data,,,,,,,,,בהרת,None,No data,
$khh,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 4",No data,,,,,,,,,שכהה,None,No data,
mN,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 5",No data,,,,,,,,,מן,None,No data,
hkhh,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 6",No data,,,,,,,,,הכהה,None,No data,
$lh,"Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 7",No data,,,,,,,,,שלה,None,No data,
"Tm)""","Masekhet: 5330036, Page: 32, Side: d, Line: 35, Word: 8",No data,,,,,,,,,טמא,None,No data,
w)py',"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 0",c,c,,,,"even if , even","and, also",,,ואפי',w_,conjunction | conjunction,"even if , even | and, also"
kr',"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 1",p02,N,,,,like,chief; teacher,,,כר',rby#2 rby#2 noun sg. abs. or construct,preposition with pronominal suffix | noun,like | chief; teacher
(qybh,"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 2",PN Personal name,,,,,,,,,עקיבה,(qybh,proper name Personal name,
)ty),"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 3",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתיא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
hy),"Masekhet: 5330036, Page: 32, Side: d, Line: 47, Word: 4",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
wmh,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 0",P01 C,c,,,,what?,"and, also",,,ומה,w_,preposition independent (h)aphel | conjunction,"what? | and, also"
xmyt,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 1",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמית,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully"
mymr,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
"""bTwm)t","Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 3",No data,,,,,,,,,בטומאת,None,No data,
hqwd$,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 4",No data,,,,,,,,,הקודש,None,No data,
hktwb,"Masekhet: 5330036, Page: 33, Side: a, Line: 04, Word: 5",No data,,,,,,,,,הכתוב,None,No data,
