text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
(l,"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 0",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to
d(tyh,"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 1",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge
dhdyN,"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 2",p,R,,,,this (m.),,,,דהדין,hdyn hdyn P01,preposition | R,this (m.)
b{t}ryy),"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 3",A02,,,,,"healthy, firm",,,,ברייא,bry,adjective singular determined,"healthy, firm"
hy),"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 4",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
d(tyh,"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 5",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge
dr',"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 0",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
ly(zr,"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 1",PN Personal name,,,,,,,,,ליעזר,ly(zr,proper name Personal name,
qdmyyt),"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 2",A02 C,,,,,first,,,,קדמייתא,qdmy,adjective singular determined (h)aphel,first
hy),"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 3",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
d(tyh,"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 4",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge
)xryyt),"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 5",P01 C,,,,,other (f.),,,,אחרייתא,)wxry,preposition independent (h)aphel,other (f.)
"""wyzkyr","Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 0",No data,,,,,,,,,ויזכיר,None,No data,
"mb(rb""","Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 1",No data,,,,,,,,,מבערב,None,No data,
lyt,"Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 2",verb G,,,,,,,,,לית,lyt,verb peal,
kl,"Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 3",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
(m),"Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 4",noun sg. emphatic,,,,,people,,,,עמא,(m,noun sg. emphatic,people
tmN,"Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 5",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there
"""wyzkyr","Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 6",No data,,,,,,,,,ויזכיר,None,No data,
"b$xryt""","Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 7",No data,,,,,,,,,בשחרית,None,No data,
""")P","Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 0",No data,,,,,,,,,אף,None,No data,
hw),"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 1",No data,,,,,,,,,הוא,None,No data,
sbwr,"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 2",No data,,,,,,,,,סבור,None,No data,
$m),"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 3",No data,,,,,,,,,שמא,None,No data,
hzkyrw,"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 4",No data,,,,,,,,,הזכירו,None,No data,
"mb(rb""","Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 5",No data,,,,,,,,,מבערב,None,No data,
whw),"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 6",P01 C,c,,,,he,"and, also",,,והוא,w_,preposition independent (h)aphel | conjunction,"he | and, also"
hwy,"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 7",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
