text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
wh),"Masekhet: 5330006, Page: 40, Side: b, Line: 05, Word: 0",I01 C,c,,,,here! look!,"and, also",,,והא,w_,I01 (h)aphel | conjunction,"here! look! | and, also"
mtnytN,"Masekhet: 5330006, Page: 40, Side: b, Line: 05, Word: 1",noun sg. emphatic,,,,,tannaitic tradition,,,,מתניתן,mtny,noun sg. emphatic,tannaitic tradition
plyg),"Masekhet: 5330006, Page: 40, Side: b, Line: 05, Word: 2",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגא,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
qyymwnh,"Masekhet: 5330006, Page: 40, Side: b, Line: 06, Word: 0",verb D,,,,,to establish,to fulfill a commandment or promise,"to swear, promise",to preserve,קיימונה,qwm,verb pael,"to establish | to fulfill a commandment or promise | to swear, promise | to preserve"
"""b$)ynw","Masekhet: 5330006, Page: 40, Side: b, Line: 06, Word: 1",No data,,,,,,,,,בשאינו,None,No data,
ywd(,"Masekhet: 5330006, Page: 40, Side: b, Line: 06, Word: 2",No data,,,,,,,,,יודע,None,No data,
"lktwb""","Masekhet: 5330006, Page: 40, Side: b, Line: 06, Word: 3",No data,,,,,,,,,לכתוב,None,No data,
)mr,"Masekhet: 5330006, Page: 40, Side: b, Line: 09, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
swph,"Masekhet: 5330006, Page: 40, Side: b, Line: 09, Word: 1",noun sg. emphatic,,,,,end,,,,סופה,swp,noun sg. emphatic,end
wlyt,"Masekhet: 5330006, Page: 40, Side: b, Line: 09, Word: 2",verb G,c,,,,,,,,ולית,w_,verb peal | conjunction,
hy),"Masekhet: 5330006, Page: 40, Side: b, Line: 09, Word: 3",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she
plyg),"Masekhet: 5330006, Page: 40, Side: b, Line: 09, Word: 4",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגא,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
)t,"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 0",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.)
)mr,"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
lyt,"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 2",verb G,,,,,,,,,לית,lyt,verb peal,
k)N,"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 3",X,,,,,here,,,,כאן,kn#2 kn#2 a01 C,X,here
^w^)P,"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 4",c,c,,,,"also, even","and, also",,,ואף,w_,conjunction | conjunction,"also, even | and, also"
hk),"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 5",a01 C,,,,,here,,,,הכא,hkh,a01 (h)aphel,here
lyt,"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 6",verb G,,,,,,,,,לית,lyt,verb peal,
k)N,"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 7",X,,,,,here,,,,כאן,kn#2 kn#2 a01 C,X,here
)m',"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 8",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
r',"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 9",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
mn),"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 10",PN Personal name,,,,,,,,,מנא,mn),proper name Personal name,
)yt,"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 11",verb G,,,,,,,,,אית,)yt,verb peal,
k)N,"Masekhet: 5330006, Page: 40, Side: b, Line: 11, Word: 12",X,,,,,here,,,,כאן,kn#2 kn#2 a01 C,X,here
)t),"Masekhet: 5330006, Page: 40, Side: b, Line: 31, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
(wbd),"Masekhet: 5330006, Page: 40, Side: b, Line: 31, Word: 1",noun sg. emphatic,,,,,"act, deed",,,,עובדא,(wbd,noun sg. emphatic,"act, deed"
qwmy,"Masekhet: 5330006, Page: 40, Side: b, Line: 31, Word: 2",p01 C,,,,,before,,,,קומי,qwmy,preposition independent (h)aphel,before
r',"Masekhet: 5330006, Page: 40, Side: b, Line: 31, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330006, Page: 40, Side: b, Line: 31, Word: 4",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
bxd,"Masekhet: 5330006, Page: 40, Side: b, Line: 31, Word: 5",p02,n01 C,,,,"in, with",one,,,בחד,xd,preposition with pronominal suffix | numeral singular absolute or construct (h)aphel,"in, with | one"
Trsyy,"Masekhet: 5330006, Page: 40, Side: b, Line: 31, Word: 6",A01,,,,,Tarsian,,,,טרסיי,Trsy,adjective singular absolute or construct,Tarsian
dhwN,"Masekhet: 5330006, Page: 40, Side: b, Line: 31, Word: 7",c,verb G,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,דהון,hwy,conjunction | verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
yhbyN,"Masekhet: 5330006, Page: 40, Side: b, Line: 32, Word: 0",verb G,,,,,to give,to place,"to permit, allow","as coverb: to be on the point of doing something, give oneself over to",יהבין,yhb,verb peal,"to give | to place | to permit, allow | as coverb: to be on the point of doing something, give oneself over to"
lyh,"Masekhet: 5330006, Page: 40, Side: b, Line: 32, Word: 1",p01,,,,,,,,,ליה,l_,preposition independent,
symwq,"Masekhet: 5330006, Page: 40, Side: b, Line: 32, Word: 2",A01,,,,,red,,,,סימוק,symwq,adjective singular absolute or construct,red
gw,"Masekhet: 5330006, Page: 40, Side: b, Line: 32, Word: 3",p01 C,,,,,"inside, within",,,,גו,gw,preposition independent (h)aphel,"inside, within"
