text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
r',"Masekhet: 5330024, Page: 02, Side: a, Line: 29, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
ywsy,"Masekhet: 5330024, Page: 02, Side: a, Line: 29, Word: 1",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
ptr,"Masekhet: 5330024, Page: 02, Side: a, Line: 29, Word: 2",verb G,,,,,"to interpret,explain",,,,פתר,ptr,verb peal,"to interpret,explain"
mtnyth,"Masekhet: 5330024, Page: 02, Side: a, Line: 30, Word: 0",noun sg. emphatic,,,,,tannaitic tradition,,,,מתניתה,mtny,noun sg. emphatic,tannaitic tradition
"""mcwt","Masekhet: 5330024, Page: 02, Side: a, Line: 30, Word: 1",No data,,,,,,,,,מצות,None,No data,
t)kl,"Masekhet: 5330024, Page: 02, Side: a, Line: 30, Word: 2",No data,,,,,,,,,תאכל,None,No data,
"mcwh""","Masekhet: 5330024, Page: 02, Side: a, Line: 30, Word: 3",No data,,,,,,,,,מצוה,None,No data,
r',"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher
bnymN,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 1",PN Personal name,,,,,,,,,בנימן,bnymN,proper name Personal name,
br,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 2",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
gydl,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 3",PN Personal name,,,,,,,,,גידל,gydl,proper name Personal name,
wr',"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 4",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also"
)x),"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 5",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,
hww,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 6",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוו,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
ytbyN,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 7",verb G,,,,,to sit,to dwell,to settle down,to be inhabited,יתבין,ytb,verb peal,to sit | to dwell | to settle down | to be inhabited
^w)yqpyd,"Masekhet: 5330024, Page: 02, Side: b, Line: 27, Word: 0",verb Gt,c,,,,to fear,to be angry,to be wrinkled,,ואיקפיד,w_,verb ethpeel | conjunction,to fear | to be angry | to be wrinkled
