text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
(l,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 0",p01,,,,,upon; against; to,,,,על,(l,preposition independent,upon; against; to
d(t',"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 1",noun sg. emphatic,,,,,knowledge,,,,דעת',dy(h,noun sg. emphatic,knowledge
dr',"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 2",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher
ywxnN,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 3",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,
d{w}<l)>,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 4",c,a01,,,,"no, not",,,,דלא,l),conjunction | a01,"no, not"
ylyP,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 5",V,,,,,,,,,יליף,ylp ylp verb G,V,
lh,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 6",p01,,,,,,,,,לה,l_,preposition independent,
mN,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 7",p01,,,,,from,,,,מן,mn,preposition independent,from
hdyN,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 8",R,,,,,this (m.),,,,הדין,hdyn hdyn P01,R,this (m.)
qryy),"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 9",noun sg. emphatic,,,,,biblical verse,,,,קרייא,qrh,noun sg. emphatic,biblical verse
"^""$m(lh","Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 10",No data,,,,,,,,,שמעלה,None,No data,
"hy)""","Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 11",No data,,,,,,,,,היא,None,No data,
"^""bprh","Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 0",No data,,,,,,,,,בפרה,None,No data,
sylswl,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 1",No data,,,,,,,,,סילסול,None,No data,
hy),"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 2",No data,,,,,,,,,היא,None,No data,
"bprh""","Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 3",No data,,,,,,,,,בפרה,None,No data,
nyx),"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 4",A02,,,,,quiet,,,,ניחא,nyx,adjective singular determined,quiet
(l,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 5",p01,,,,,upon; against; to,,,,על,(l,preposition independent,upon; against; to
d(tyh,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 6",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge
dbr qpr),"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 7",PN Personal name,p,,,,,,,,דבר קפרא,d_ d_ p,proper name Personal name | preposition,
d{l)}<w>,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 8",c,a01,,,,"no, not",,,,דו,l),conjunction | a01,"no, not"
ylyP,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 9",V,,,,,,,,,יליף,ylp ylp verb G,V,
lh,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 10",p01,,,,,,,,,לה,l_,preposition independent,
mN,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 11",p03,,,,,from,,,,מן,mn,preposition proclitic,from
qryy)^,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 12",noun sg. emphatic,,,,,biblical verse,,,,קרייא,qrh,noun sg. emphatic,biblical verse
"""lmh""","Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 13",No data,,,,,,,,,למה,None,No data,
"""k)N","Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 0",No data,,,,,,,,,כאן,None,No data,
nwg(yN,"Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 1",No data,,,,,,,,,נוגעין,None,No data,
wk)N,"Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 2",No data,,,,,,,,,וכאן,None,No data,
)yN,"Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 3",No data,,,,,,,,,אין,None,No data,
"nwg(yN""","Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 4",No data,,,,,,,,,נוגעין,None,No data,
