masekhet,page,side,line,target,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
5330015,38,a,52,Yerushalmi,0.1667,0.0,0.4167,0.8333,0.0833,0.0,0.0,12.0,3.5,0.0,1.0
5330015,38,a,53,Yerushalmi,0.2143,0.0,0.4286,0.6429,0.0714,0.0,0.0,14.0,3.8571,0.0,1.0
5330015,38,a,54,Yerushalmi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.4,0.0,0.0
5330015,38,a,55,Yerushalmi,0.0,0.0,0.5,1.0,0.75,0.0,0.0,4.0,3.75,0.0,0.3333
5330015,38,a,56,Yerushalmi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0
5330015,38,a,58,Yerushalmi,0.0,0.0,0.4545,0.9091,0.8182,0.0,0.0,11.0,3.0909,0.1111,0.0
5330015,38,a,59,Yerushalmi,0.0,0.0,0.5556,0.6667,0.7778,0.0,0.0,9.0,4.4444,0.1429,0.1429
5330015,38,b,03,Yerushalmi,0.0,0.0,0.0,0.8333,0.5,0.0,0.0,6.0,3.1667,0.3333,0.0
5330015,38,b,04,Yerushalmi,0.0,0.0,0.4615,0.7692,0.4615,0.0,0.0,13.0,3.2308,0.3333,0.3333
5330015,38,b,08,Yerushalmi,0.3333,0.0,0.6667,0.5,0.6667,0.0,0.0,3.0,4.0,0.0,0.0
5330015,38,b,09,Yerushalmi,0.0769,0.0769,0.4615,0.9231,0.5385,0.0,0.0,13.0,4.0769,0.0,0.1429
5330015,38,c,09,Yerushalmi,0.0,0.25,0.25,0.6875,0.5,0.0,0.0,16.0,3.5625,0.375,0.0
5330015,38,c,10,Yerushalmi,0.0,0.0,0.0769,0.3846,0.9231,0.0,0.0,13.0,3.5385,0.25,0.0
5330015,38,c,11,Yerushalmi,0.0,0.0,0.4286,0.7143,0.8571,0.0,0.0,14.0,3.3571,0.0833,0.25
5330015,38,c,12,Yerushalmi,0.0,0.0909,0.3636,0.3636,0.6364,0.0,0.0,11.0,3.8182,0.0,0.0
5330015,38,c,13,Yerushalmi,0.0,0.0,0.3077,0.3077,0.4615,0.0,0.0,13.0,4.0769,0.0,0.0
5330015,38,c,14,Yerushalmi,0.0,0.0833,0.25,0.3333,0.4167,0.0,0.0,12.0,4.1667,0.0,0.0
5330015,38,c,15,Yerushalmi,0.0,0.0,0.25,0.3333,0.5,0.0,0.0,12.0,3.8333,0.0,0.0
5330015,38,c,20,Yerushalmi,0.0,0.0,0.4,1.0,1.4,0.0,0.0,5.0,3.4,0.0,0.1429
5330015,38,c,21,Yerushalmi,0.0,0.1429,0.3571,0.5714,0.5,0.0,0.0,14.0,3.8571,0.1429,0.1429
5330015,38,c,22,Yerushalmi,0.0,0.0,0.0714,0.3571,0.6429,0.0,0.0,14.0,4.2143,0.0,0.0
5330015,38,c,23,Yerushalmi,0.0,0.0,0.4286,0.7143,0.7143,0.0,0.0,14.0,3.7143,0.1,0.0
5330015,38,c,24,Yerushalmi,0.0,0.0,0.3571,0.5714,0.5,0.0,0.0,14.0,4.2857,0.1429,0.0
5330015,38,c,25,Yerushalmi,0.0,0.0,1.0,0.75,0.75,0.0,0.0,4.0,3.75,0.0,0.0
5330015,38,c,34,Yerushalmi,0.2,0.0,0.3333,0.8667,0.8,0.0,0.0,15.0,3.8,0.25,0.0
5330015,38,c,35,Yerushalmi,0.4,0.2,0.4,1.0,0.4,0.0,0.3333,5.0,3.6,0.0,0.5
5330015,38,c,53,Yerushalmi,0.0,0.1667,0.1667,0.9167,0.5,0.0,0.0,12.0,3.75,0.0,0.0
5330015,38,c,61,Yerushalmi,0.0,0.0,0.5,0.8333,0.8333,0.0,0.0,12.0,4.0833,0.1,0.3
5330015,38,c,62,Yerushalmi,0.0,0.0,1.0,1.0,1.25,0.0,0.0,4.0,3.25,0.0,0.2
5330015,38,d,11,Yerushalmi,0.2857,0.4286,0.2857,0.8571,0.2857,0.0,0.2,7.0,4.4286,0.5,0.0
5330015,38,d,19,Yerushalmi,0.0,0.0833,0.1667,0.75,0.8333,0.0,0.0,12.0,3.4167,0.0,0.0
5330015,38,d,20,Yerushalmi,0.0,0.0,0.2,0.2,0.2,0.0,0.0,5.0,3.8,0.0,0.0
5330015,38,d,25,Yerushalmi,0.1667,0.1667,0.3333,1.0,0.3333,0.0,0.0,6.0,4.8333,0.5,0.0
5330015,38,d,26,Yerushalmi,0.5,0.0,0.5,0.5,1.0,0.0,0.0,2.0,4.5,0.0,0.0
5330015,38,d,48,Yerushalmi,0.1,0.0,0.7,0.8,0.7,0.0,1.0,10.0,3.4,0.0,0.5714
5330015,38,d,50,Yerushalmi,0.0,0.0,0.5,1.0,0.5,0.0,0.0,4.0,4.5,0.0,0.0
5330015,38,d,51,Yerushalmi,0.0,0.0,0.3333,0.6667,0.5556,0.0,0.0,9.0,3.7778,0.2,0.0
5330015,38,d,55,Yerushalmi,0.0,0.0,0.3333,0.6667,0.3333,0.0,0.0,6.0,4.6667,0.0,0.0
5330015,38,d,60,Yerushalmi,0.0,0.0833,0.1667,0.4167,0.3333,0.0,1.0,12.0,4.3333,0.25,0.0
5330015,38,d,61,Yerushalmi,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0
5330015,38,d,64,Yerushalmi,0.125,0.0,0.375,0.75,1.0,0.0,0.0,8.0,3.375,0.25,0.125
5330015,39,a,07,Yerushalmi,0.0769,0.0769,0.3846,0.7692,0.6923,0.0,0.5,13.0,4.2308,0.3333,0.1111
5330015,39,a,08,Yerushalmi,0.0833,0.0,0.3333,0.6667,0.5,0.0,0.0,12.0,4.1667,0.3333,0.0
5330015,39,a,09,Yerushalmi,0.0,0.0,0.2222,0.6667,0.6667,0.0,0.0,9.0,4.6667,0.3333,0.0
5330015,39,a,19,Yerushalmi,0.0,0.0,0.0,0.5,1.6667,0.0,0.0,3.0,3.0,0.0,0.0
5330015,39,a,51,Yerushalmi,0.0,0.0,0.4,0.4,0.9,0.0,0.0,10.0,4.1,0.0,0.1111
5330015,39,a,52,Yerushalmi,0.0,0.0714,0.2143,0.5714,0.3571,0.0,0.0,14.0,3.5,0.0,0.0
5330015,39,a,53,Yerushalmi,0.0,0.2308,0.1538,0.3077,0.4615,0.0,0.0,13.0,3.9231,0.0,0.1667
5330015,39,a,54,Yerushalmi,0.0,0.0,0.1538,0.2308,0.3846,0.0,0.0,13.0,4.0,0.0,0.2
5330015,39,a,55,Yerushalmi,0.0,0.25,0.4167,0.3333,0.5,0.0,0.0,12.0,4.1667,0.0,0.0
5330015,39,a,56,Yerushalmi,0.0,0.5,0.0,0.5,0.5,0.0,0.0,2.0,4.0,0.0,0.0
5330015,39,b,12,Yerushalmi,0.0714,0.0,0.5,0.8571,1.0,0.0,1.0,14.0,4.0714,0.0714,0.1429
5330015,39,b,13,Yerushalmi,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,5.0,0.0,0.0
5330015,39,b,54,Yerushalmi,0.0,0.0,0.0,0.5,1.0,0.0,0.0,2.0,3.5,0.0,0.0
5330015,39,b,57,Yerushalmi,0.0,0.0,0.0,1.0,1.25,0.0,0.0,4.0,3.5,0.0,0.0
5330015,39,b,63,Yerushalmi,0.2,0.0,0.6,0.8,0.0,0.0,0.0,5.0,4.8,0.0,0.0
5330015,39,b,64,Yerushalmi,0.1111,0.0,0.3333,0.6667,0.0,0.0,0.0,9.0,4.0,0.0,0.0
5330015,39,c,11,Yerushalmi,0.0,0.0,0.5,1.0,1.0,0.0,0.0,4.0,2.75,0.0,0.25
5330015,39,c,28,Yerushalmi,0.1667,0.0,0.3333,0.8333,0.5,0.0,1.0,6.0,3.5,0.0,0.0
5330015,39,c,29,Yerushalmi,0.0,0.1429,0.2857,0.4286,0.5714,0.0,0.0,14.0,3.6429,0.0,0.375
5330015,39,c,30,Yerushalmi,0.0769,0.0,0.2308,0.6154,0.8462,0.0,1.0,13.0,3.8462,0.1818,0.0
5330015,39,c,31,Yerushalmi,0.0,0.0,0.1667,0.1667,0.0,0.0,0.0,6.0,4.1667,0.0,0.0
5330015,39,c,51,Yerushalmi,0.1667,0.3333,0.0,1.0,0.3333,0.0,0.0,6.0,3.6667,0.5,0.0
5330015,39,c,63,Yerushalmi,0.2,0.2,0.4,1.0,0.0,0.0,0.5,5.0,4.8,0.0,0.0
5330015,39,d,03,Yerushalmi,0.0,0.2,0.4,1.0,0.6,0.0,0.0,5.0,3.4,0.3333,0.3333
