scroll_name,column,line,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
11QtgJob_Job_Scroll,01,01,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,5.5,0.0,0.0
11QtgJob_Job_Scroll,01,02,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,6.0,0.0,0.0
11QtgJob_Job_Scroll,01,03,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,5.5,0.0,0.0
11QtgJob_Job_Scroll,01,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.2,0.0,0.0
11QtgJob_Job_Scroll,01,05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.8,0.0,0.0
11QtgJob_Job_Scroll,01,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.25,0.0,0.0
11QtgJob_Job_Scroll,01,07,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,6.3333,0.0,0.0
11QtgJob_Job_Scroll,01,08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.75,0.0,0.0
11QtgJob_Job_Scroll,02,01,0.0,0.0,0.0,0.25,1.0,1.0,0.0,4.0,5.5,0.0,0.0
11QtgJob_Job_Scroll,02,02,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,8.0,0.0,0.0
11QtgJob_Job_Scroll,02,03,0.0,0.0,0.0,0.5,0.6667,0.0,0.0,3.0,6.3333,0.0,0.0
11QtgJob_Job_Scroll,02,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,0.0,0.0
11QtgJob_Job_Scroll,02,05,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,02,06,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.0,4.5,0.0,0.0
11QtgJob_Job_Scroll,02,07,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,6.6667,0.0,0.0
11QtgJob_Job_Scroll,02,08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.25,0.0,0.0
11QtgJob_Job_Scroll,03,01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,03,02,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,03,03,0.0,0.0,0.0,0.1667,0.3333,0.1667,0.0,6.0,5.8333,0.0,0.0
11QtgJob_Job_Scroll,03,04,0.0,0.0,0.0,0.4,0.0,0.0,0.0,5.0,4.4,0.0,0.0
11QtgJob_Job_Scroll,03,05,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,7.0,3.5714,0.0,0.0
11QtgJob_Job_Scroll,03,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.8,0.0,0.0
11QtgJob_Job_Scroll,03,07,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,4.3333,0.0,0.0
11QtgJob_Job_Scroll,03,08,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,04,01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,6.0,0.0,0.0
11QtgJob_Job_Scroll,04,02,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,6.0,0.0,0.0
11QtgJob_Job_Scroll,04,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0
11QtgJob_Job_Scroll,04,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,04,05,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,04,06,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,5.75,0.0,0.0
11QtgJob_Job_Scroll,04,07,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,6.3333,0.0,0.0
11QtgJob_Job_Scroll,04,08,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,04,09,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,7.0,0.0,0.0
11QtgJob_Job_Scroll,05,01,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,5.2,0.0,0.0
